benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-crafted/zero_sum_const_m2.yml,cbmc_default,ee,0,0,0,0,0,629.5,12799.1
array-crafted/zero_sum_const_m2.yml,esbmc_default,to,0,0,0,0,0,900.8,172.6
array-crafted/zero_sum_const_m2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,1490.5
array-crafted/zero_sum_const_m2.yml,uautomizer_default,to,0,0,0,0,0,900.4,1295.7
array-crafted/zero_sum_const_m3.yml,cbmc_default,ee,0,0,0,0,0,673.9,12874.3
array-crafted/zero_sum_const_m3.yml,esbmc_default,to,0,0,0,0,0,900.8,186.5
array-crafted/zero_sum_const_m3.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,1349.3
array-crafted/zero_sum_const_m3.yml,uautomizer_default,to,0,0,0,0,0,900.8,1417.8
array-crafted/zero_sum_const_m4.yml,cbmc_default,ee,0,0,0,0,0,681.4,12956.1
array-crafted/zero_sum_const_m4.yml,esbmc_default,to,0,0,0,0,0,900.8,189.2
array-crafted/zero_sum_const_m4.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,1885.2
array-crafted/zero_sum_const_m4.yml,uautomizer_default,to,0,0,0,0,0,900.4,2296.3
array-crafted/zero_sum_const_m5.yml,cbmc_default,ee,0,0,0,0,0,672.9,13038.8
array-crafted/zero_sum_const_m5.yml,esbmc_default,to,0,0,0,0,0,900.8,201.7
array-crafted/zero_sum_const_m5.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,1676.3
array-crafted/zero_sum_const_m5.yml,uautomizer_default,to,0,0,0,0,0,900.6,1172.2
array-crafted/zero_sum_m2.yml,cbmc_default,ee,0,0,0,0,0,875.2,98.1
array-crafted/zero_sum_m2.yml,esbmc_default,to,0,0,0,0,0,900.8,149.9
array-crafted/zero_sum_m2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.9,1060.9
array-crafted/zero_sum_m2.yml,uautomizer_default,to,0,0,0,0,0,900.6,2471.5
array-crafted/zero_sum_m3.yml,cbmc_default,ee,0,0,0,0,0,875.1,123.7
array-crafted/zero_sum_m3.yml,esbmc_default,to,0,0,0,0,0,900.8,200.0
array-crafted/zero_sum_m3.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,1358.8
array-crafted/zero_sum_m3.yml,uautomizer_default,to,0,0,0,0,0,900.9,1723.6
array-crafted/zero_sum_m4.yml,cbmc_default,ee,0,0,0,0,0,875.2,123.7
array-crafted/zero_sum_m4.yml,esbmc_default,to,0,0,0,0,0,900.8,128.6
array-crafted/zero_sum_m4.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.9,1203.2
array-crafted/zero_sum_m4.yml,uautomizer_default,to,0,0,0,0,0,901.0,1947.0
array-crafted/zero_sum_m5.yml,cbmc_default,ee,0,0,0,0,0,875.0,163.6
array-crafted/zero_sum_m5.yml,esbmc_default,to,0,0,0,0,0,900.8,138.5
array-crafted/zero_sum_m5.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,1301.6
array-crafted/zero_sum_m5.yml,uautomizer_default,to,0,0,0,0,0,900.6,893.8
array-examples/data_structures_set_multi_proc_ground-1.yml,cbmc_default,ee,0,0,0,0,0,875.8,9556.7
array-examples/data_structures_set_multi_proc_ground-1.yml,esbmc_default,to,0,0,0,0,0,900.9,1578.9
array-examples/data_structures_set_multi_proc_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,524.4
array-examples/data_structures_set_multi_proc_ground-1.yml,uautomizer_default,to,0,0,0,0,0,901.0,749.2
array-examples/data_structures_set_multi_proc_ground-2.yml,cbmc_default,ee,0,0,0,0,0,875.7,7600.1
array-examples/data_structures_set_multi_proc_ground-2.yml,esbmc_default,to,0,0,0,0,0,900.9,1575.3
array-examples/data_structures_set_multi_proc_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,523.2
array-examples/data_structures_set_multi_proc_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.7,916.5
array-examples/relax-1.yml,cbmc_default,ee,0,0,0,1,0,0.1,6.6
array-examples/relax-1.yml,esbmc_default,ee,0,0,0,1,0,0.1,6.8
array-examples/relax-1.yml,uautomizer_bitprecise,ee,0,0,0,1,0,0.1,6.8
array-examples/relax-1.yml,uautomizer_default,ee,0,0,0,1,0,0.1,6.6
array-examples/relax-2-2.yml,cbmc_default,ee,0,0,0,0,0,522.5,14919.0
array-examples/relax-2-2.yml,esbmc_default,to,0,0,0,0,0,900.8,209.5
array-examples/relax-2-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.4,1068.0
array-examples/relax-2-2.yml,uautomizer_default,to,0,0,0,0,0,900.7,1523.5
array-examples/sanfoundry_02_ground.yml,cbmc_default,ee,0,0,0,0,0,875.5,5619.7
array-examples/sanfoundry_02_ground.yml,esbmc_default,to,0,0,0,0,0,901.2,7490.1
array-examples/sanfoundry_02_ground.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,532.3
array-examples/sanfoundry_02_ground.yml,uautomizer_default,to,0,0,0,0,0,900.4,875.1
array-examples/sanfoundry_10_ground.yml,cbmc_default,ee,0,0,0,0,0,875.2,3272.5
array-examples/sanfoundry_10_ground.yml,esbmc_default,to,0,0,0,0,0,901.0,654.9
array-examples/sanfoundry_10_ground.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.2,508.1
